"","topic","Recall","Precision","Fmeasure","Accuracy","nexp","npred"
"acq","acq","4.2","15.1","6.5","88.1","2448","675"
"carcass","carcass","1.3","8.3","2.3","99.7","75","12"
"cocoa","cocoa","2.6","22.2","4.7","99.7","76","9"
"coffee","coffee","0.7","50","1.4","99.4","145","2"
"crude","crude","2.2","14.9","3.8","97.1","634","94"
"earn","earn","25","16.3","19.7","66.9","3987","6113"
"grain","grain","0.3","33.3","0.6","97.4","628","6"
"interest","interest","0.4","33.3","0.8","97.9","513","6"
"ipi","ipi","1.5","33.3","2.9","99.7","65","3"
"money.fx","money.fx","0.2","28.6","0.5","96.7","801","7"
"money.supply","money.supply","0.5","100","1","99.2","190","1"
"orange","orange","3.4","25","6.1","99.9","29","4"
"palm.oil","palm.oil","2.3","50","4.4","99.8","43","2"
"ship","ship","0.3","14.3","0.6","98.7","305","7"
"sugar","sugar","0.5","100","1.1","99.3","184","1"
"trade","trade","0.2","100","0.4","97.8","551","1"
"macro.avg","macro.avg","0.4","5.5","0.5","99.3","0","0"
"micro.avg","micro.avg","7.9","16.3","10.7","99.3","0","0"
