"","cluster","other","acq","corn","crude","earn","grain","interest","money.fx","ship","trade","wheat"
"1","1",11,2,0,0,4,0,2,2,0,0,0
"10","10",120,29,1,8,40,3,6,10,5,5,4
"100","100",7,0,0,1,1,0,0,0,1,1,0
"101","101",3,1,0,0,2,0,0,1,0,1,0
"102","102",4,0,0,0,0,0,0,1,0,0,0
"103","103",3,0,0,0,0,0,0,0,0,0,0
"104","104",2,0,0,0,0,0,0,0,0,0,0
"105","105",2,0,0,0,0,0,1,0,0,0,0
"106","106",2,1,0,0,0,0,0,0,0,0,0
"107","107",1,1,1,0,1,0,0,0,0,1,0
"108","108",1,0,0,0,0,0,0,0,0,0,0
"109","109",3,1,0,0,1,0,0,1,0,1,0
"11","11",238,48,2,19,69,1,11,17,4,14,2
"110","110",2,0,0,0,0,0,0,0,0,0,0
"111","111",1,0,0,1,0,0,0,0,0,0,0
"112","112",3,0,0,0,0,0,0,0,0,1,0
"113","113",2,0,0,1,1,0,0,0,0,1,0
"114","114",1,0,0,0,0,0,0,0,0,0,0
"115","115",4,0,0,1,2,0,0,0,0,0,0
"116","116",0,0,0,0,2,0,0,0,0,0,0
"117","117",1,0,0,0,0,0,0,0,0,0,0
"118","118",3,1,0,0,1,0,0,0,0,0,1
"119","119",0,0,0,1,0,0,0,0,0,0,0
"12","12",105,17,1,3,30,2,5,5,3,3,5
"120","120",1,2,0,0,1,0,0,0,0,0,0
"121","121",0,0,0,0,0,1,0,0,1,0,0
"122","122",2,1,0,1,3,0,1,1,0,0,0
"123","123",7,0,0,0,2,1,0,0,0,0,0
"124","124",2,0,0,0,0,1,0,1,0,0,0
"125","125",2,0,0,0,0,0,0,0,0,0,0
"126","126",6,1,0,0,2,0,0,0,0,0,0
"127","127",1,1,0,0,0,1,0,0,0,1,0
"128","128",1,0,0,1,0,0,0,0,0,1,0
"129","129",1,0,0,0,0,0,0,0,0,0,0
"13","13",4,1,1,0,3,0,1,1,0,0,1
"130","130",2,1,0,0,0,0,0,0,0,0,0
"131","131",1,0,0,0,0,0,0,0,0,0,0
"132","132",1,0,0,0,0,0,0,0,0,0,0
"133","133",3,0,0,0,0,0,0,0,0,0,0
"134","134",2,0,0,0,1,0,0,0,0,0,0
"135","135",1,0,0,0,0,0,0,0,0,0,0
"136","136",0,1,0,0,1,0,0,0,0,0,0
"137","137",1,0,0,0,0,0,0,0,0,0,0
"138","138",2,0,0,0,2,0,0,0,0,0,0
"139","139",0,0,0,0,1,0,1,0,0,0,0
"14","14",137,31,3,11,46,2,4,12,6,6,3
"140","140",0,0,0,0,0,0,0,0,0,1,0
"141","141",1,0,0,0,0,0,0,0,0,0,0
"142","142",1,0,0,0,0,0,0,0,0,0,0
"143","143",1,0,0,0,0,0,0,0,0,0,0
"144","144",1,0,0,0,0,0,0,0,0,0,0
"145","145",2,0,0,0,0,0,0,0,0,0,0
"146","146",1,0,0,0,0,0,0,0,0,0,0
"147","147",2,0,0,0,0,0,0,0,0,0,0
"148","148",1,0,0,0,0,0,0,0,0,0,0
"149","149",1,0,0,0,0,0,0,0,0,0,0
"15","15",13,4,1,0,3,0,1,1,0,0,1
"150","150",1,0,0,0,0,0,0,0,0,0,0
"16","16",46,9,2,1,21,0,0,3,1,6,2
"17","17",99,7,0,4,29,2,4,3,2,1,2
"18","18",7,2,0,0,1,0,1,0,0,2,2
"19","19",32,3,0,2,6,1,0,0,1,5,0
"2","2",8717,1768,183,430,2915,110,366,589,216,397,216
"20","20",53,14,0,1,13,0,2,1,0,2,0
"21","21",21,4,2,0,9,0,0,2,0,0,2
"22","22",6,1,2,3,3,0,2,1,1,0,2
"23","23",5,1,0,0,3,0,1,0,0,0,0
"24","24",5,1,0,1,1,0,1,1,0,1,0
"25","25",54,9,2,4,17,1,2,3,0,3,3
"26","26",7,2,0,0,0,0,0,0,0,0,0
"27","27",8,1,1,0,2,0,0,0,0,2,0
"28","28",27,2,0,0,4,0,0,0,0,1,0
"29","29",19,1,1,0,6,1,2,2,1,1,1
"3","3",225,38,3,13,73,4,8,11,8,4,6
"30","30",11,1,0,0,6,0,0,0,0,0,0
"31","31",27,6,0,2,9,0,2,2,0,1,0
"32","32",5,1,0,0,1,0,0,0,0,0,0
"33","33",18,3,0,1,2,0,0,2,0,0,1
"34","34",9,1,0,0,3,0,0,1,0,0,0
"35","35",3,0,0,0,2,0,0,0,0,0,0
"36","36",1,1,0,0,0,0,1,0,0,0,0
"37","37",16,3,0,0,4,0,0,1,0,1,0
"38","38",2,0,0,1,1,0,0,0,0,0,0
"39","39",48,11,3,5,15,1,0,3,0,2,2
"4","4",17,3,0,0,5,0,0,1,0,0,0
"40","40",4,0,0,0,1,0,0,0,0,0,1
"41","41",8,0,0,1,1,0,0,0,0,1,0
"42","42",4,1,0,0,3,0,0,0,0,0,0
"43","43",6,3,0,1,4,0,1,1,1,0,0
"44","44",6,0,0,0,0,0,0,0,1,0,0
"45","45",5,0,0,0,1,0,0,0,0,0,0
"46","46",33,11,0,5,8,0,1,2,0,1,0
"47","47",2,0,0,0,1,1,0,0,1,0,0
"48","48",2,0,0,0,0,0,0,2,1,0,0
"49","49",10,0,0,1,2,0,1,1,0,0,0
"5","5",442,97,11,23,146,5,25,30,12,22,12
"50","50",3,0,0,0,0,0,0,0,0,0,0
"51","51",10,0,0,2,1,1,0,0,0,1,0
"52","52",3,0,0,0,0,0,0,0,0,0,0
"53","53",3,1,1,0,2,0,0,0,0,0,0
"54","54",12,4,3,0,3,0,2,2,0,0,3
"55","55",13,4,0,1,2,0,0,0,0,0,1
"56","56",1,2,0,0,1,0,0,0,0,0,0
"57","57",10,5,0,0,4,0,1,1,0,1,1
"58","58",2,3,0,0,0,0,0,0,0,0,0
"59","59",7,1,0,0,2,1,1,0,0,1,0
"6","6",274,69,5,14,80,2,9,15,10,12,9
"60","60",10,1,0,0,2,0,0,1,0,1,0
"61","61",2,2,0,1,0,0,0,0,0,0,1
"62","62",40,10,1,2,8,1,1,1,2,2,1
"63","63",2,0,0,0,0,0,0,0,0,0,0
"64","64",18,3,0,0,2,0,0,0,0,1,0
"65","65",9,1,0,0,0,0,0,1,0,1,0
"66","66",6,0,0,0,3,1,0,0,0,0,0
"67","67",2,0,0,0,1,0,0,0,0,1,0
"68","68",7,1,0,1,1,0,0,1,0,0,0
"69","69",4,0,0,0,1,0,0,0,0,0,0
"7","7",516,93,10,25,144,2,24,33,9,16,10
"70","70",1,0,0,1,3,0,0,0,1,0,0
"71","71",1,0,0,0,1,0,0,0,0,0,0
"72","72",6,2,0,0,4,0,0,1,0,0,0
"73","73",1,1,1,0,0,0,0,0,0,0,0
"74","74",8,4,0,0,3,0,1,1,0,0,1
"75","75",1,0,0,0,1,0,0,0,0,0,0
"76","76",0,1,0,0,0,0,0,0,0,0,0
"77","77",0,0,0,0,1,0,0,0,0,0,0
"78","78",0,0,0,1,1,0,0,0,0,0,0
"79","79",4,1,0,2,2,0,0,0,0,0,1
"8","8",52,8,1,5,18,1,3,4,1,4,1
"80","80",5,2,0,1,4,0,1,0,0,2,0
"81","81",5,3,0,0,2,0,0,0,0,0,0
"82","82",3,0,0,0,1,0,0,0,0,0,0
"83","83",4,2,1,0,1,0,1,0,0,0,1
"84","84",5,1,0,0,1,0,0,0,0,0,0
"85","85",0,1,1,0,2,0,0,0,0,0,1
"86","86",2,0,0,0,0,0,1,0,0,0,0
"87","87",2,2,0,0,1,0,0,0,0,0,0
"88","88",6,0,1,0,2,0,1,0,0,0,0
"89","89",1,1,0,0,0,0,0,0,0,0,0
"9","9",350,62,8,29,132,9,14,25,16,17,5
"90","90",2,0,0,0,0,0,0,0,0,0,0
"91","91",12,1,0,1,0,0,0,0,0,0,0
"92","92",0,0,0,0,3,0,0,0,0,0,1
"93","93",2,0,0,0,0,0,0,0,0,0,0
"94","94",1,0,0,0,0,0,0,0,0,0,0
"95","95",2,1,0,0,1,1,0,0,0,0,0
"96","96",8,2,0,0,4,0,0,0,0,1,0
"97","97",5,1,0,0,1,0,0,0,0,0,0
"98","98",3,2,0,1,4,0,0,0,0,0,0
"99","99",1,1,0,0,0,0,0,0,0,0,0
